Speed,Size,Sense,Population
500.15,50.95,100.1,20
501.273,48.7273,100.182,22
497.879,49.5152,100.061,33
498.514,49.8,100.286,35
498.973,47.2703,100,37
498.239,48.1957,100.152,46
499.231,48,100.231,39
500.462,46.8462,100.128,39
500.229,46.6042,99.8958,48
498.833,46.8095,100.024,42
500.75,45.6563,99.7813,32
498.935,45.9677,100.032,31
497.349,45.9767,100,43
497.368,46.2105,99.9211,38
497,46.7222,99.9444,36
497.902,47.122,99.9024,41
496.571,48.2143,99.9524,42
497.684,47.1053,99.8158,38
495.257,47.4571,100.057,35
496.048,47.1667,100,42
496.488,47.9268,99.9756,41
495.048,48.0714,100.095,42
495.6,47.6857,100.086,35
495.818,48.9697,100.061,33
495.348,48.587,100.174,46
495.667,49.3095,100.143,42
494.121,49.0606,100.394,33
494.154,47.5128,100.282,39
493.591,48.8636,100.386,44
493.556,48.5833,100.528,36
492.438,49.2188,100.688,32
492.368,48.4737,100.711,38
493.235,50.2647,100.5,34
493.077,49.8718,100.641,39
493.6,49.8571,100.543,35
492.875,49.8438,100.688,32
494.154,50.5897,100.564,39
493.944,50.7778,100.556,36
494.513,50.7436,100.462,39
493.867,51.3333,100.633,30
494.513,50.9231,100.538,39
494.211,51,100.579,38
494.625,51.3125,100.531,32
495.2,51.9143,100.457,35
496.162,52.1081,100.378,37
496.439,52.9512,100.268,41
497.6,53.4,100.167,30
496.375,52.75,100.281,32
497.805,53.0488,100.098,41
499.226,53.6774,99.9355,31
500.867,55.3333,99.7333,30
502.387,54,99.5161,31
504.133,54.8667,99.2667,30
505.067,55.0889,99.1333,45
505.176,55.2941,99.1176,34
505.853,55.0294,99.0882,34
505.828,56.2759,99.1034,29
506.08,55.68,99,25
506.129,57.1613,99.0323,31
506.077,57.6923,99.0385,26
506.094,58.5,99.0313,32
505.935,57.7742,98.9032,31
505.667,58.5455,98.9091,33
506.081,58.973,98.9189,37
505.862,59.5862,98.8966,29
505.862,60.4138,98.7931,29
506.04,60.08,98.88,25
506,59.2414,98.5862,29
505.969,59.5313,98.7188,32
506.069,60.2414,98.8966,29
506.034,60.6552,98.8966,29
506.029,61.1765,98.9118,34
506,60.65,98.85,20
505.704,60.4444,98.8889,27
505.833,60.3667,99.1,30
505.414,61.069,99.069,29
505.458,61.875,99.125,24
505.071,61.4286,99.1071,28
505.615,62.3077,99.1154,26
505.421,61.1579,98.9211,38
505.034,61.2069,99.1034,29
504.615,62.8462,99.0769,26
504.957,61.6087,99.087,23
505.03,62.5455,99.2424,33
504.968,63.0968,99.129,31
505.091,63.0909,99,22
505.231,63.7308,98.8846,26
505.238,64.2381,98.8571,21
504.72,63.96,98.64,25
505,64.4583,98.875,24
504.667,63.4333,98.9,30
504.839,64.6774,98.6129,31
504.37,64.7407,98.7778,27
505.273,65.1818,98.8636,22
505.68,65.68,98.88,25
505.333,66.4667,98.7,30
505.13,66.0435,98.7391,23
505.2,66.3429,98.5714,35
504.909,66.5,98.7273,22
505.273,65.8182,98.7273,22
505.097,65.2903,98.6129,31
505.455,65.4545,98.8636,22
504.968,66.1936,98.9032,31
505.04,65.76,98.88,25
504.727,67.2273,99,22
505.111,65.5926,98.8889,27
504.769,66.1923,98.8846,26
504.069,67.3103,99.069,29
504.71,65.7419,98.9677,31
504.345,66.4828,98.9655,29
504.074,68.4444,98.8889,27
504.5,66.0625,98.9688,32
504,67.5,98.9615,26
503.793,68.2759,98.931,29
503.857,68,98.9643,28
503.833,67.875,98.9583,24
503.2,67.6333,98.6,30
503.385,67.3846,98.7692,26
502.769,67,98.6538,26
502.32,68.44,98.76,25
502.364,67.5455,98.3182,22
